link,permalink_url,created_time,type,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message,name
https://www.facebook.com/MaikelLeyvaOficial/photos/a.1415268715235636.1073741828.1412883408807500/1663127900449715/?type=3,https://www.facebook.com/MaikelLeyvaOficial/posts/1663127937116378,2018-05-16T19:54:03+0000,photo,1412883408807500_1663127937116378,7,29,NONE,28,true,false,chronological,0,true,,
https://www.facebook.com/MaikelLeyvaOficial/photos/a.1415268721902302.1073741829.1412883408807500/1657766324319206/?type=3,https://www.facebook.com/MaikelLeyvaOficial/posts/1657766324319206:0,2018-05-11T06:58:45+0000,photo,1412883408807500_1657766324319206,1,13,NONE,13,true,false,chronological,0,true,"Torneo en linea codefight en el curso de Python para data science. 

#codefights #datasciences #inteligenciaartifical #capacitacion #cursos #cience #cienciadelosdatos",Timeline Photos
https://www.unocero.com/noticias/apps/jupyter-recibe-un-premio-de-la-acm-por-innovacion-en-software/,https://www.facebook.com/MaikelLeyvaOficial/posts/1657364924359346,2018-05-10T19:12:37+0000,link,1412883408807500_1657364924359346,1,4,NONE,4,true,false,chronological,0,true,"Los Jupyter Notebooks se usan en escuelas secundarias hasta universidades para enseñar temas como ciencias de la computación, aerodinámicas, métodos numéricos..... Visita el siguiente enlace para seguir leyendo.
https://goo.gl/zzPaUF",Jupyter recibe un premio de la ACM por innovación en software
https://www.xataka.com/otros/mama-de-mayor-quiero-ser-ingeniero-de-machine-learning-estos-son-los-trabajos-mas-demandados-en-eeuu,https://www.facebook.com/MaikelLeyvaOficial/posts/1656562771106228,2018-05-10T00:04:01+0000,link,1412883408807500_1656562771106228,3,12,NONE,12,true,false,chronological,0,true,"Los trabajos mejores pagados son:..... Un escalón por debajo tenemos a los científicos de datos con sueldo medio de..... Míralo en el siguiente enlace
https://www.xataka.com/otros/mama-de-mayor-quiero-ser-ingeniero-de-machine-learning-estos-son-los-trabajos-mas-demandados-en-eeuu","Mamá, de mayor quiero ser Ingeniero de Machine Learning: estos son los trabajos más demandados en EEUU"
https://www.facebook.com/MaikelLeyvaOficial/photos/a.1653743911388114.1073741830.1412883408807500/1653743791388126/?type=3,https://www.facebook.com/MaikelLeyvaOficial/posts/1653743928054779,2018-05-06T21:01:17+0000,photo,1412883408807500_1653743928054779,1,8,NONE,8,true,false,chronological,0,true,"Algunos de los temas del curso:
- Ciencia de los datos y lenguaje Python.
-Jupiter: Computación interactiva.
- Orange: Programación visual.

#estadisticas #datascienceweekend #ciencia #cursosytalleres #inteligenciaartifical",Photos from Maikel Leyva's post
https://www.facebook.com/MaikelLeyvaOficial/videos/1652564414839397/,https://www.facebook.com/MaikelLeyvaOficial/videos/1652564414839397/,2018-05-05T15:38:22+0000,video,1412883408807500_1652564414839397,,11,NONE,11,true,false,chronological,0,true,Inicio del curso de la Ciencia de los datos. La Inteligencia Articifal se puede aplicar a diferentes ramas. Gracias @Wehrli Perez por la presentación.,
https://www.facebook.com/MaikelLeyvaOficial/videos/1652564184839420/,https://www.facebook.com/MaikelLeyvaOficial/videos/1652564184839420/,2018-05-05T15:35:48+0000,video,1412883408807500_1652564184839420,,2,NONE,2,true,false,chronological,0,true,"La Inteligencia Artificial aplicada a la Ciencia de los Datos. La inteligencia artificial se puede aplicar a casi todas las ramas. 
#datascienceweekend #cienciadelosdatos #estadistica #inteligenciaartifical #artificialintelligence",
https://www.facebook.com/MaikelLeyvaOficial/photos/a.1415268715235636.1073741828.1412883408807500/1652552881507217/?type=3,https://www.facebook.com/MaikelLeyvaOficial/posts/1652553098173862,2018-05-05T15:26:00+0000,photo,1412883408807500_1652553098173862,1,5,NONE,5,true,false,chronological,0,true,Inteligencia Artificial aplicada a la Ciencia de los datos. La inteligencia artificial se puede aplicar a casi todas las ramas. Gracias @Wehrli Perez,Photos from Maikel Leyva's post
http://es.euronews.com/2018/05/02/la-union-europea-apuesta-por-la-inteligencia-artificial,https://www.facebook.com/MaikelLeyvaOficial/posts/1651969524898886,2018-05-05T00:03:50+0000,video,1412883408807500_1651969524898886,1,7,NONE,6,true,false,chronological,0,true,"Los programadores dicen que la inteligencia artificial llega para facilitarnos la vida. 
http://es.euronews.com/2018/05/02/la-union-europea-apuesta-por-la-inteligencia-artificial",La Unión Europea apuesta por la Inteligencia Artificial
https://www.facebook.com/MaikelLeyvaOficial/photos/a.1415268715235636.1073741828.1412883408807500/1651918078237364/?type=3,https://www.facebook.com/MaikelLeyvaOficial/posts/1651918111570694,2018-05-04T22:24:23+0000,photo,1412883408807500_1651918111570694,1,6,NONE,6,true,false,chronological,0,true,"La Inteligencia Artificial (IA), la vemos en todas partes solo debemos mirar con detalle.",
